1: 18th century elaborated form of English Dora, meaning "gift." | female. DORINDA
1: From a French word used as a term of endearment, meaning "bauble, toy." | female. BIBI
1: From a medieval English name for someone "from Saxony." The Saxons were a Germanic tribe who got their name from the word seax, a kind of "single-edged knife." | male. SAXON
1: From a misspelling of the English Shakespearean name Innogen, meaning "girl, maiden." | female. IMOGEN
1: From an English byname derived from a pet form of the word maid, meaning "young woman." | female. MAIDIE
1: From an English pet name meaning "a blonde." Compare with another form of Goldie. | female. GOLDIE
1: From an old English byname for a fair-haired person, derived from the Middle English word schirloc, composed of the elements scir "bright, clear, shire," and locc "lock of hair," hence "bright locks." | male. SHERLOCK
1: From an Old English byname, meaning "fox." | male. FOX
1: From an Old English derogatory name for a bald-headed person; it became a surname, then transferred to forename; derived from Middle English balled, meaning "rounded like a ball," hence "bald-headed." | male. BALLARD
1: From an Old English place name meaning "island of elder trees." | male. ELLERY
1: From an Old French and Middle English byname composed of the word corb, "crow, raven," and a diminutive suffix, hence "little crow" or "little raven." | male. CORBIN
1: From a surname common in the Middle Ages, thought to be of Anglo-Saxon origin, probably a contraction of Old English ald-house, hence "from the old house." | male. ALDOUS
1: From Greek Pedion Elysion, the name of the heavenly fields of Elysia, a section of the Underworld mentioned in Greek mythology. The mythological place name may have evolved from the designation of a place, or person, struck by lightning (enelysion, enelysios); if so, the name means "lightning-struck." | female. ELYSIA (Ἠλύσια)
1: From Latin geminus meaning "twin." In Astrology, it is a zodiac sign. In Astronomy, it is the name of a constellation. In Roman mythology, Castor and Pollux are the Gemini twins, the sons of Leda, brothers to Helen of Troy and Clytemnestra. In Greek they are called the Dioskouroi. | male. GEMINI
1: From Old English dudde "cloak, mantle," which later produced the word duds "ragged clothing" and dud which became a byname for a person "dressed raggedly." | male. DUDDE
1: From the African country name, itself possibly from the Egyptian word nbw, meaning "gold." | female. NUBIA
1: From the American English pet name for a "high-spirited young man," from the vocabulary word buck, meaning "male deer or goat." | male. BUCK
1: From the English literary name found in various retellings of the Trojan War, based on the Greek name Khryseis, from khrysos, meaning "gold." | female. CRESSIDA
1: From the English surname Harrison, meaning "son of Harry." | male. HARRIS
1: From the French flower name, meaning "nasturtium." This name was borne by the French actress who played Inspector Clouseau's wife in "The Pink Panther." | female. CAPUCINE
1: From the German city name of uncertain etymology, possibly related to the Old Polabian stem berl-, meaning "swamp." | female. BERLIN
1: From the Latin name of a genus of "honeysuckle." | female. ABELIA
1: From the Middle English byname giffard, meaning "chubby-cheeked." | male. GIFFARD
1: From the name of a city in northwest England where the Romans settled and named Lugovalio "place of Lugovalos." Lugovalio was later shortened to Leol and prefixed with the British word caer "fortress," rendering the name Carleol, "fortress of Lugovalos," from which Carlyle was derived. In Arthurian legend, this was the name of the place where Guinevere's affair with Sir Lancelot was exposed, and where she was sentenced to death. | male. CARLISLE
1: From the name of a J. M. Barrie character, derived from a pet name, fwendy, meaning "friend." | female. WENDY
1: From the name of a Tolkien character, meaning "star sun." | female. ELANOR
1: From the name of the state of Arizona in the United States of America, a place considered sacred by the Native Americans. It was named after Sedona Miller Schnebly (1877-1950), the wife of the city's first postmaster. Meaning unknown. | female. SEDONA
1: From the Native American Cherokee name of the giant redwood trees that grow in California. The tree was named after the half-blooded scholar George Gist, inventor of the Cherokee alphabet. The name Sequoia ("pig's foot"), was given to him after a hunting accident disfigured his foot. | female. SEQUOIA
1: From the surname of a 19th century singer who took the name from the city of her birth, Melbourne, Australia, meaning "mill stream." | female. MELBA
1: From the surname which was derived from Middle English Aldrich, meaning "noble ruler." | male. ALDRIDGE
1: German and Scandinavian name derived from Latin Æmilius, meaning "rival." In use by the English. | male. EMIL
1: German compound name composed of French Anne "favor; grace," and Marie "obstinate, rebellious." | female. ANNEMARIE
1: German compound name composed of Rose "rose" and Marie "obstinate, rebellious." | female. ROSEMARIE
1: German form of French Christine, meaning "believer" or "follower of Christ." | female. KRISTEN
1: German form of Greek Helénē, probably meaning "torch." Scandinavian form of Greek Helénē, probably meaning "torch." | female. HELENE
1: German form of Latin Marlena, meaning "rebel of Magdala." | female. MARLENE
1: German form of Latin Susanna, meaning "lily." | female. SUSANNE
1: German name composed of the elements ger "spear" and þruþ "strength," hence "spear strength." | female. GERTRUDE
1: German name composed of the elements irmen "entire, whole" and gard "enclosure," hence "entirely protected." | female. IRMGARD
1: German name composed of the elements irmen "entire, whole" and lint "soft, tender," hence "entirely gentle." | female. IRMALINDA
1: German name composed of the elements liut "people" and heri "army, warrior," hence "people's army." | male. LUTHER
1: German name derived from the word braun, meaning "brown." In use by the English. | male. BRUNO
1: German surname transferred to forename use, meaning "wild."Old English name meaning "willow tree." | female. WILDA
1: Greek name adopted by early English Christians because of its association with the gift of myrrh given to Jesus by the Magi, derived from the Greek word myron, meaning "myrrh." | male. MYRON (Μύρων)
1: Greek name derived from the feminine form of the word barbaros, once used to refer to the unintelligible chatter of foreigners which sounded like "bar-bar" to the Greeks, hence "foreign; strange." | female. BARBARA (Βαρβάρα)
1: Greek name derived from the word leon, meaning "lion." In use by the English and Germans. | male. LEON (Λέων)
1: Greek name derived from the word melissa, meaning "honey-sap." In mythology, this is the name of a nymph who cared for Zeus in his infancy. | female. MELISSA (Μέλισσα)
1: Greek name meaning "bounty" and "unmixed, pure." In mythology, this is the name of a goddess of the sea, consort of Nereus and mother of the Nereids (sea nymphs). | female. DORIS (Δωρίς)
1: Greek name meaning "laurel." In mythology, this is the name of a nymph who was turned into a laurel tree by her father so that she might escape Apollo's unwanted attentions. | female. DAPHNE (Δάφνη)
1: Greek name meaning "life." | female. ZOE (Ζωή)
1: Greek name meaning "of Delos." In mythology, this is a name borne by Artemis, referring to her place of birth. | female. DELIA (Δήλια)
1: Greek name meaning "of Lydia." In the bible, this is the name of a woman who was converted to Christianity by Paul. | female. LYDIA (Λ� δία)
1: Greek name meaning "rainbow." In mythology, this is the name of a rainbow goddess. In use by the English as a feminine name, and by the Jews as a unisex name. | female. IRIS (Ίρις)
1: Greek name meaning "wanderer." In mythology, this is the name of the founder and first queen of Carthage. She fell in love with Aeneas, and set herself on fire when he left her. | female. DIDO (Διδώ)
1: Greek name meaning "wisdom." | female. SOPHIA (Σoφíα)
1: Greek name meaning "woman." In mythology, this is the name of the mother of Castor, Pollux and Helen. | female. LEDA (Λήδα)
1: Greek name of uncertain origin, possibly meaning "agreeable." In the bible, this is the name of the grandmother of Timothy. Compare with masculine Lois. | female. LOIS (Λωΐς)
1: Greek name probably composed of the elements persô "person; human being" and phonos "murderer, slayer," hence "person-slayer." In mythology, this is the name of a goddess of the underworld, a daughter of Zeus and Demeter. Her Roman name is Proserpina. | female. PERSEPHONE (� ερσεφόνη)
1: Habitational surname transferred to forename use, composed of the Old English elements bryne, meaning "fire, flame," and tun "enclosure, settlement, town," hence "fire town." | male. BRENTON
1: Hebrew form of Sumerian Lilitu, meaning "of the night." In mythology, this is the name of a Mesopotamian storm demon associated with the wind and thought to bear disease and death. In ancient Semitic folklore, it is the name of a night demon. The oldest story considers Lilith to be Adam's first wife. In the bible, this is simply a word for a "screech owl." | female. LILITH (לִילִית)
1: Hebrew name derived from the word ashar, meaning "happy." In the bible, this is the name of a son of Jacob. In use by the English. | male. ASHER (אָשֵׁר)
1: Hebrew name meaning "a petition, prayer." In the bible, this is the name of a son of Judah. Compare with another form of Shelah. | male. SHELAH
1: Hebrew name meaning "beloved." In the bible, this is the name of a son of Jesse. David was the second king of Israel and father of King Solomon. As a youth he killed a giant named Goliath with his slingshot. | male. DAVID (דָּוִד, דָּוִיד)
1: Hebrew name meaning "bird." In the bible, this is the name of the wife of Moses. The Anglicized form is Zipporah. | female. TSIPPORAH (צִפּוֹרָה)
1: Hebrew name meaning "bitter." In the bible, this is the name that Naomi gave herself after the death of her husband and sons. | female. MARA (מָרָה)
1: Hebrew name meaning "father of a multitude." In the bible, this is the name of the founding patriarch of the Israelites. Also spelled Avraham. | male. ABRAHAM (אַבְרָהָם)
1: Hebrew name meaning "father of light." In the bible, this is the name of a cousin of Saul who was also a commander of his army. In use by the English. Also spelled Avner. | male. ABNER
1: Hebrew name meaning "noble lady, princess." In the bible, this is the name that God gave to Sarai, wife of Abraham. | female. SARAH (שָׂרָה)
1: Hebrew name meaning "who is like God?" In the bible, this is the name of many characters, including a minor prophet. The Anglicized form is Michah. | male. MIYKAH (מִיכָה)
1: Hebrew unisex name meaning "delight" or "place of pleasure." In the bible, this is the name of the garden in which Adam and Eve lived. | female. EDEN (עֵדֶן)
1: Hebrew unisex name meaning "delight" or "place of pleasure." In the bible, this is the name of the garden in which Adam and Eve lived. | male. EDEN (עֵדֶן)
1: Hebrew unisex name meaning "joy, song." Compare with strictly masculine Ron. | female. RON (רוֹן)
1: Hebrew unisex name meaning "my ornament" or "my witness." | female. ADI (עֲדִי)
1: Hungarian feminine form of Roman Latin Julianus, meaning "descended from Jupiter (Jove)."Polish feminine form of Roman Latin Julianus, meaning "descended from Jupiter (Jove)." | female. JULIANNA
1: Hungarian form of English Edith, meaning "rich battle." | female. EDIT
1: Icelandic name derived from Old Norse heilagr, meaning "holy; dedicated to the gods." | female. HELGA
1: In Greek mythology, ambrosia is the name of a food or drink of the gods that gives them immortality. Feminine form of Greek Ambrosios, meaning "immortal." Feminine form of Latin Ambrosius, meaning "immortal." | female. AMBROSIA
1: In the 4th century Romano-British tribes from across the English Channel began to settle in a northwestern region of France. Their numbers increased as raiding and settling by Anglo-Saxon invaders in Britain increased. The French named the region where the Briton immigrants settled Bretagne (Brittany in English), meaning "little Britain." | female. BRITTANY
1: In the bible, this is the name of the second son of Adam and Eve who was killed by his jealous brother Cain. Anglicized form of Greek Habel, meaning "vanity," i.e. "transitory." Anglicized form of Hebrew Hebel, meaning "breath, breathing." | male. ABEL
1: Irish and Scottish Anglicized form of Gaelic Fearghus, meaning "strong-man." In Irish mythology, this was the name an Ulster hero. | male. FERGUS
1: Irish and Scottish surname transferred to forename use, from an Anglicized form of Gaelic Mac Cionaodha, meaning "son of Cionaodh," hence "born of fire." | female. MCKENNA
1: Irish Anglicized form of Gaelic Aonghas, meaning "excellent valor." | male. AENGUS
1: Irish Anglicized form of Gaelic Finnén, meaning "little white one." | male. FINNIAN
1: Irish Anglicized form of Gaelic Fionnbarr, meaning "fair-headed." Compare with feminine Gaynor. | male. GAYNOR
1: Irish Anglicized form of Gaelic Fionnbarr, meaning "fair-headed." | male. FINBAR
1: Irish Anglicized form of Gaelic Fionnbarr, meaning "fair-headed." | male. FINNBAR
1: Irish Anglicized form of Gaelic Tadhg, meaning "poet." | male. TEAGUE
1: Irish Anglicized form of Gaelic Tadhg, meaning "poet." | male. TEIGUE
1: Irish Gaelic name meaning "dream; vision." | female. AISLING
1: Irish surname transferred to forename use, an Anglicized form of Gaelic Ó Coileáin, "descendant of Coileán," hence "whelp, young pup." | male. CULLEN
1: Irish surname transferred to forename use, an Anglicized form of Gaelic Ó Conbhuide "descendant of Cú Bhuidhe," hence "yellow hound." | male. CONWAY
1: Irish surname transferred to forename use, derived from an Anglicized form of Gaelic Ó Foghladha "descendant of Foghlaidh," hence "pirate, plunderer." | male. FOLEY
1: Irish surname transferred to forename use, derived from an Anglicized form of Gaelic Ruadhán, meaning "little red one." Compare with feminine Rowan. | male. ROWAN
1: Irish surname transferred to forename use, derived from O'Hanley, an Anglicized form of Gaelic Ó hÁinle, meaning "descendant of Áinle," hence "champion." | male. HANLEY
1: Irish surname transferred to forename use, derived from the English personal name Kayley, meaning "slender." | female. KEELEY
1: Irish surname transferred to forename use, derived from the surname Devine, an Anglicized form of Gaelic Ó Daimhín, "descendant of Daimhín," hence "little fawn." | male. DEVIN
1: Irish surname transferred to forename use, from an Anglicized form of either Gaelic Cnámhín, a nickname for a skinny man meaning "little bone," or from Gaelic Naomhán, meaning "little saint." | male. NEVIN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Baile an Doire, meaning "town of the oak wood." | male. BALLINDERRY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Béal an Átha Móir, meaning "mouth of the big ford." | male. BALLINAMORE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Georóid, meaning "spear ruler." | male. GARRETT
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Aodhagáin "son of Aodhagán," hence "tiny little fire." | male. KEEGAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Biorna "son of Biorna," hence "bear." | male. BURNEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Coinín "son of Coinín," hence "little wolf." | male. KENYON
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Fhlannchaidh, "son of Flannchadh," hence "red warrior." | male. CLANCY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Mac Giolla Ruaidh, "son of the Ruadh," hence "red." | male. GILROY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Braonáin, "descendant of Braonán," hence "little drop." | male. BRENNAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Broin "descendant of Bran," hence "raven." | male. BYRNE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Caoimh "descendant of Caomh," hence "beloved, comely." | male. KEEFE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Caoindealbhán "descendant of Caoindealbhán," hence "little fair-formed one." | male. QUINLAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Caollaidhe, "descendant of Caolladhe," hence "slender." | female. KAYLEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Cearnaigh "descendant of Cearnaigh," hence "victor, winner." | male. KEARNEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Coinn "descendant of Conn," hence "chief, freeman, head, hound, intelligence, strength." | male. QUINN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Dálaigh, "descendant of Dálach," hence "assembly, gathering." | male. DALEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Deoradháin, "descendant of Deoradhán," hence "exile, wanderer." Compare with another form of Doran. | male. DORAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Donndubháin, "descendant of Donndubhán," hence "little dark brown one." | male. DONOVAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Fearghail "descendant of Fearghal," hence "man of valor." | male. FARRELL
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Fionnagáin "descendant of Fionnagán," hence "tiny little white one." | male. FINNEGAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Flannabhra "descendant of Flannabhra," hence "red eyebrows." | male. FLANNERY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Floinn, meaning "descendant of Flann," hence "red, ruddy." | male. FLYNN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Gallchobhair "descendant of Gallchobhar," hence "foreign help." | male. GALLAGHER
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Gráda "descendant of Gráda," hence "noble." | male. GRADY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó hEachthighearna "descendant of Eachthighearna," hence "lord of horses." | male. AHERN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó h-Eidirsceóil "son of the messenger," from eidirsceól, composed of the elements eidir "between" and scéal "story, news," hence "go-between, intermediary, messenger, news bearer." | male. DRISCOLL
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Maoil Eoin, meaning "devotee of St Eoin (John)." | male. MALONE
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Muircheartaigh "descendant of Muircheartach," hence "skilled seaman." | male. MORIARTY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Muirgheasa "descendant of Muirgheas," hence "sea-taboo." | male. MORRISSEY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Murchadha "descendant of Murchadh," hence "sea-warrior." | male. MURPHY
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Riain ("descendant of Rian"), hence "little king." | male. RYAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Ruaidh, meaning "descendant of Ruadh." | male. ORMOND
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Sirideáin ("descendant of Sirideán"), possibly meaning "searcher." | male. SHERIDAN
1: Irish surname transferred to forename use, from an Anglicized form of Gaelic Ó Súileabháin ("descendant of Súileabhán"), hence "little dark eyes." | male. SULLIVAN
1: Irish surname transferred to forename use, from an Anglicized form of Ó Nualláin "descendant of Nuallán," hence "little champion" or "little chariot fighter." | male. NOLAN
1: Irish surname transferred to forename use, from McCadden, an Anglicized form of Gaelic Mac Cadáin "son of Cadán," hence "little battle." | male. CADEN
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Brádaigh "descendant of Brádach," hence "large-chested." | male. BRADY
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Brádaigh, meaning "descendant of Brádach," hence "large-chested." | female. BRADY
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Riagáin, "descendant of Riagán," hence "furious, impulsive." | female. REAGAN
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Riagáin, "descendant of Riagán," hence "furious, impulsive." | male. REAGAN
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Sluaghadháin, "descendant of Sluaghadhán," hence "little raider." | female. SLOANE
1: Irish surname transferred to unisex forename use, derived from an Anglicized form of Gaelic Ó Sluaghadháin, "descendant of Sluaghadhán," hence "little raider." | male. SLOANE
1: Irish surname transferred to unisex forename use, from a contracted form of the surname Keelahan, an Anglicized form of Gaelic Ó Céileacháin, "descendant of Ceileachain," hence "little companion." | female. KEELAN
1: Irish surname transferred to unisex forename use, from a contracted form of the surname Keelahan, an Anglicized form of Gaelic Ó Céileacháin, "descendant of Ceileachain," hence "little companion." | male. KEELAN
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Déiseach (originally a name for a member of the Déise), "a tenant, a vassal," a word tracing back to Indo-European *dem-s, meaning "house." | male. DACEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Déiseach which was originally a name for a member of the Déise, "a tenant, a vassal," a word tracing back to Indo-European *dem-s ("house"). | female. DACEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Brógáin, meaning "descendant of Brógán," hence "little shoe." | female. BROGAN
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Ciardha, "descendant of Ciardha ("black, dark"), hence "dark one." | female. CARY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Ciardha "descendant of Ciardha," hence "dark one." | male. CARY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Dubhshláine "descendant of Dubhshláine," hence "black challenger." | female. DELANEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Dubhshláine "descendant of Dubhshláine," hence "black challenger." | male. DELANEY
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Séaghdha ("descendant of Séaghdha"), possibly meaning "hawk-like." | female. SHEA
1: Irish surname transferred to unisex forename use, from an Anglicized form of Gaelic Ó Séaghdha ("descendant of Séaghdha"), possibly meaning "hawk-like." | male. SHEA
1: Irish surname transferred to unisex forename use, from a variant spelling of the surname Cuddihy (also spelled Cuddy), an Anglicized form of Gaelic Ó Cuidighthigh "descendant of Cuidightheach," hence "helper." | female. CODY
1: Irish surname transferred to unisex forename use, from a variant spelling of the surname Cuddihy (also spelled Cuddy), an Anglicized form of Gaelic Ó Cuidighthigh "descendant of Cuidightheach," hence "helper." | male. CODY
1: Irish surname transferred to unisex forename use in honor of the assassinated American president John F. Kennedy, derived from an Anglicized form of Gaelic Cinnéidigh, meaning "ugly head." | male. KENNEDY
1: Irish surname transferred to unisex forename use in honor of the assassinated American president John F. Kennedy, from an Anglicized form of Gaelic Cinnéidigh, meaning "ugly head." | female. KENNEDY
1: I shall love." In the bible, this is the name of an Edomite enemy God raised up to punish Solomon for his sins. | male. Anglicized form of Hebrew Adad, meaning "I shall move softly
1: Italian and Spanish form of Greek Martha, meaning "lady, mistress." | female. MARTA
1: Italian compound name composed of Rosa "rose" and Anna "favor, grace," hence "rose of grace." | female. ROSANNA
1: Italian diminutive form of Latin Anna, meaning "favor; grace." | female. ANNETTA
1: Italian form of English Moses, meaning "drawn out." | male. MOSÈ
1: Italian form of English Samantha, meaning "heard of God," "his name is El," or "name of God." | female. SAMANTA
1: Italian form of Latin Viatrix, meaning "voyager (through life)." | female. BEATRICE
1: Italian name meaning "precious stone." | female. GEMMA
1: Later form of English Dandrane, the Arthurian legend name of the sister of Percival, sometimes known as the "Grail heroine." She is a major character in many of the Holy Grail stories. | female. DANDRENOR
1: Later spelling of Old French Caterine, meaning "pure." | female. CATHERINE
1: Latin form of Greek Ariadnê, meaning "utterly pure." In mythology, this is the name of the daughter of King Minos. | female. ARIADNE
1: Latin form of Greek Eirênê, meaning "peace." In mythology, this is the name of a goddess of peace. | female. IRENE
1: Latin form of Greek Hêbê, meaning "young." In mythology, this is the name of a goddess of youth. | female. HEBE
1: Latin form of Greek Helénē, probably meaning "torch." | female. HELENA
1: Latin form of Greek Kleitos, meaning famous, renowned." | male. CLETUS
1: Latin form of Greek Linos, meaning either "a cry of grief" or "flax, linen." In the bible, this is the name of one of Paul's Christian associates. In mythology, this is the name of a musician, the personification of lamentation. He was killed by Apollo who was his rival in music. Another version of the story says he was killed by Hercules. | male. LINUS
1: Latin form of Greek Sousánna, meaning "lily." In the bible, this is the name of a woman who ministered to Christ. Compare with another form of Susanna. | female. SUSANNA
1: Latin form of Persian Roušanak, meaning "dawn." This was the name of a wife of Alexander the Great. | female. ROXANA
1: Latin form of Severn, the name of a river in England where a Celtic goddess dwelt. The Old Welsh form of Severn is Habren. The name is of uncertain origin, possibly from Hebrew Sabra, the name for a native-born Israeli, meaning "thorny cactus." | female. SABRINA
1: Latin name composed of the word ursa "she-bear" and a diminutive suffix, hence "little she-bear." | female. URSULA
1: Latin name meaning "dawn." In Roman mythology, this is the name of a goddess of morning. Equated with Greek Eos. | female. AURORA
1: Latin name meaning "divine, heavenly." In Roman mythology, this is the name of a goddess of the moon and hunting. | female. DIANA
1: Latin name meaning "from the forest." | female. SYLVA
1: Latin name meaning "happy" or "lucky." In the bible, this is the name of a Roman procurator of Judea. | male. FELIX
1: Latin name meaning "harmony; peace; with (one) heart." In mythology, this is the name of a goddess of peace. Her Greek name is Harmonia. | female. CONCORDIA
1: Latin name meaning "I trust." Once a popular name for dogs. | male. FIDO
1: Latin name meaning "queen." | female. REGINA
1: Latin name meaning "sea." Compare with another form of Mare. | female. MARE
1: Latin name meaning "sorrowful." Compare with another form of Lora. | female. LORA
1: Latin name meaning "tenth." In Roman mythology, the Decima are equated with the Greek Moirae. | female. DECIMA
1: Latin name meaning "truth, verity." | female. VERITY
1: Latin name meaning "violet color" or "violet flower." | female. VIOLA
1: Latin name meaning "woman from Delphi," a city in Greece whose name probably means "dolphin." | female. DELPHINA
1: Latin name of uncertain derivation; it is either a feminine form of Victorius "conqueror," or from the vocabulary word victoria, "victory." In Roman mythology, this is the name of a goddess of victory. | female. VICTORIA
1: Literary name derived from the Greek word dysdaimon, meaning "ill-starred." | female. DESDEMONA
1: Low German form of Latin Christina, meaning "believer" or "follower of Christ."Swedish form of Latin Christina, meaning "believer" or "follower of Christ." | female. KERSTIN
1: Low German pet form of Latin Silvester, meaning "from the forest." | male. FESTER
1: Masculine form of English unisex Riley, meaning "rye clearing." | male. RYLEY
1: Masculine short form of English unisex Sidney, meaning "St Denis." | male. SID
1: Masculine variant spelling of English unisex Aubrey, meaning "elf ruler." | male. AUBRY
1: Masculine variant spelling of English unisex Garnet, meaning "garnet (the gem)." | male. GARNETT
1: Masculine variant spelling of English unisex Greer, meaning "watchful; vigilant." | male. GRIER
1: Medieval diminutive form of English Ava, meaning "little Eve." | female. AVILA
1: Medieval diminutive form of English Henry, meaning "home-ruler." | male. HARRY
1: Medieval diminutive form of English Hue ("heart," "mind," or "spirit"), hence "little heart/mind/spirit." | male. HUET
1: Medieval English form of Anglo-Saxon Æthelflæd, meaning "noble beauty." | female. ELFLEDA
1: Medieval English name derived from Latin Rohesia, which is probably a horse-related name. | female. ROYSE
1: Medieval feminine form of English Thomas, meaning "twin." | female. THOMASINA
1: Medieval form of English Agnes, meaning "chaste; holy." Compare with another form of Annis. | female. ANNIS
1: Medieval form of English Benedict, meaning "blessed." | male. BENNETT
1: Medieval form of English Cecilia, meaning "blind." | female. CECILY
1: Medieval form of English Margaret, meaning "pearl." | female. MARGERY
1: Medieval form of English Ralph, meaning "wise wolf." | male. RAFE
1: Medieval form of English Randolf, meaning "shield-wolf." | male. RANDAL
1: Medieval form of English Theobald, meaning "people-bold." | male. TYBALT
1: Medieval French form of Latin Clarissa, meaning "fame." | female. CLARICE
1: Medieval Latin form of Persian Esther, meaning "star." | female. HESTER
1: Medieval Latin name meaning "rose." Compare with another form of Rosa. | female. ROSA
1: Medieval pet form of English Dennis, meaning "little follower of Dionysos." | male. TENNEY
1: Medieval pet form of English Edith, meaning "rich battle." | female. EDA
1: Medieval pet form of English Gilbert, meaning "pledge-bright." | male. GIB
1: Medieval pet form of English Hugh, meaning "heart," "mind," or "spirit." | male. HUDDE
1: Medieval pet form of English Jordan, meaning "flowing down." | male. JUDD
1: Medieval pet form of English Oliver, probably meaning "elf army." | male. NOLL
1: Medieval pet form of English Robert, meaning "bright fame." | male. DOB
1: Medieval short form of English Amabel, meaning "lovable." | female. MABEL
1: Medieval short form of English Arnold, meaning "eagle power." Compare with another form of Arne. | male. ARNE
1: Medieval variant spelling of French Marion, meaning "little rebel." Compare with masculine Marian. | female. MARIAN
1: Middle English and Old French form of Old High German Adalhard, meaning "noble strength." | male. AILLARD
1: Middle English and Old French vernacular form of Late Latin Jacomus, from Greek Iakobos, meaning "supplanter." In the New Testament bible, this is the name of several characters, including two apostles and a half-brother of Jesus. | male. JAMES
1: Middle English contracted form of Latin Columbanus, meaning "dove." | male. COLEMAN
1: Middle English feminine form of English unisex Joyce, meaning "lady." | female. JOCOSA
1: Middle English feminine form of Norman French Alvin, meaning "elf friend." | female. ALVINA
1: Middle English form of Anglo-Saxon Æðelþryð, meaning "noble strength." | female. ETHELDREDA
1: Middle English form of Anglo-Saxon Ælfgar, meaning "elf spear." | male. ALGAR
1: Middle English form of Anglo-Saxon Ælfhere, meaning "elf army." | male. ALVAR
1: Middle English form of Anglo-Saxon Ælfric, meaning "elf ruler." | male. ELRIC
1: Middle English form of Anglo-Saxon Ælfþryð, meaning "elfin strength." | female. ELFREDA
1: Middle English form of Anglo-Saxon Ælla, meaning "all, universal." Compare with feminine Ella. | male. ELLA
1: Middle English form of Anglo-Saxon Æthel, a short form of longer names containing the element æðel, meaning "noble." | female. ETHEL
1: Middle English form of Anglo-Saxon Æthelbert, meaning "bright nobility." Compare with other forms of Albert. | male. ALBERT
1: Middle English form of Anglo-Saxon Æthelflæd, meaning "noble beauty." | female. ETHELFLEDA
1: Middle English form of Anglo-Saxon Æthelinda, meaning "noble serpent." | female. ETHELINDA
1: Middle English form of Anglo-Saxon Æthelric, meaning "noble ruler." Compare with another form of Aldrich. | male. ALDRICH
1: Middle English form of Anglo-Saxon Æthelweard "noble guard" or Ælfweard "elf guard." | male. AYLWARD
1: Middle English form of Anglo-Saxon Beorhtraed, meaning "bright counsel." | female. BERTRED
1: Middle English form of Anglo-Saxon Ceneric, meaning "keen power." | male. CENRIC
1: Middle English form of Anglo-Saxon Cenhelm, meaning "keen protection." | male. KENELM
1: Middle English form of Anglo-Saxon Cynebeal, meaning "royal courage." | male. KIMBEL
